politician,threshold,topic,youth_rank,coverage,rank
nicolafratoianni,4,Lavoro e economia,2.0,0.379,1.0
nicolafratoianni,4,Costo della vita,3.5,0.2603,2.0
nicolafratoianni,4,Democrazia e legalità,8.5,0.1963,3.0
nicolafratoianni,4,Salute e welfare,3.5,0.1096,4.0
nicolafratoianni,4,Istruzione e formazione,5.0,0.0959,5.0
nicolafratoianni,4,Difesa e sicurezza,7.0,0.0868,6.0
nicolafratoianni,4,Abitazione,10.0,0.0411,7.0
nicolafratoianni,4,Ambiente e clima,1.0,0.032,8.0
nicolafratoianni,4,Uguaglianza di genere,6.0,0.0091,9.0
nicolafratoianni,4,Immigrazione,8.5,0.0046,10.0
silviasalis,2,Lavoro e economia,2.0,0.5,1.0
silviasalis,2,Democrazia e legalità,8.5,0.4435,2.0
silviasalis,2,Salute e welfare,3.5,0.2903,3.5
silviasalis,2,Istruzione e formazione,5.0,0.2903,3.5
silviasalis,2,Difesa e sicurezza,7.0,0.2823,5.0
silviasalis,2,Costo della vita,3.5,0.2419,6.0
silviasalis,2,Ambiente e clima,1.0,0.2339,7.0
silviasalis,2,Abitazione,10.0,0.1855,8.0
silviasalis,2,Uguaglianza di genere,6.0,0.1613,9.0
silviasalis,2,Immigrazione,8.5,0.0806,10.0
silviasalis,3,Lavoro e economia,2.0,0.3548,1.0
silviasalis,3,Democrazia e legalità,8.5,0.3387,2.0
silviasalis,3,Istruzione e formazione,5.0,0.2339,3.0
silviasalis,3,Ambiente e clima,1.0,0.1855,4.5
silviasalis,3,Salute e welfare,3.5,0.1855,4.5
silviasalis,3,Difesa e sicurezza,7.0,0.1774,6.0
silviasalis,3,Costo della vita,3.5,0.1452,7.0
silviasalis,3,Abitazione,10.0,0.121,8.0
silviasalis,3,Uguaglianza di genere,6.0,0.1129,9.0
silviasalis,3,Immigrazione,8.5,0.0242,10.0
silviasalis,4,Lavoro e economia,2.0,0.2177,1.0
silviasalis,4,Istruzione e formazione,5.0,0.129,2.0
silviasalis,4,Democrazia e legalità,8.5,0.1129,3.0
silviasalis,4,Ambiente e clima,1.0,0.0968,4.0
silviasalis,4,Salute e welfare,3.5,0.0887,5.0
silviasalis,4,Uguaglianza di genere,6.0,0.0806,6.5
silviasalis,4,Difesa e sicurezza,7.0,0.0806,6.5
silviasalis,4,Costo della vita,3.5,0.0565,8.5
silviasalis,4,Abitazione,10.0,0.0565,8.5
silviasalis,4,Immigrazione,8.5,0.0,10.0
